alcaldia,colonia,nombre,titular,tel,direccion,latitud,longitud
MIGUEL HIDALGO,TACUBAYA,Hospital Pediátrico Tacubaya,Director: Dr. Carlos Javier Arnaiz Toledo,55 15 79 20,"Calle Carlos Lazo No.25, Esq. Gaviota, Col. Tacubaya Delegación Miguel Hidalgo C.P. 11870.",19.402475,-99.190842
TLALPAN,SAN MIGUEL TOPILEJO (PBLO),Hospital Materno Infantil Topilejo,NA,58 48 08 70,"Calzada Santa Cruz No. 1, Col.San Miguel Topilejo, Delegación Tlalpan C.P. 14500.",19.199308,-99.140236
VENUSTIANO CARRANZA,AERONAUTICA MILITAR,Hospital General Balbuena,Director: Dr. Miguel Angel Martínez Guzmán,55 52 16 02,"Cecilio Robelo y sur No.103, Col. Aeronáutica Militar, Delegación Venustiano Carranza C.P. 15900.",19.424906,-99.115303
GUSTAVO A. MADERO,ZONA ESCOLAR ORIENTE,Hospital Materno Infantil Cuautepec,Director: Dr. Roberto Pérez Aguilar,53 06 21 90,"Emiliano Zapata No 17, Col. Cuautepec Barrio Bajo Delegación Gustavo A. Madero C.P. 07200.",19.539803,-99.140785
MIGUEL HIDALGO,DEPORTIVA PENSIL,Hospital Pediátrico Legaria,Director: Dr. Arturo Rafael Capistrán Guadalajara,50 82 76 42,"Calzada Legaria 371, Col. México Nuevo, Delegación Miguel Hidalgo C. P. 11260.",19.450733,-99.202934
ALVARO OBREGON,LA MARTINICA,Hospital General Dr. Enrique Cabrera,Director: Dra. Arcelia Martínez González,12 85 29 54,"Av. Centenario, esquina Prolongación 5 de mayo, Col. Exhacienda de Tarango, Delegación Álvaro Obregón",19.361961,-99.224678
IZTAPALAPA,SAN LORENZO TEZONCO (PBLO),Hospital de Especialidades Dr. Belisario Domínguez,Director: Dr. Osvaldo González La Riviere,58 50 00 02,"Av. Tlahuac No. 4866, Esq. Zacatlan, Col. San Lorenzo Tezonco, Delegación Iztapalapa C.P. 09790.",19.306768,-99.06546
CUAUHTEMOC,CENTRO III,Hospital General Dr. Gregorio Salas Flores,Director: Dr. Argemiro José Genes Naar,57 02 03 72,"Carmen No. 41, Col. Centro Delegación Cuauhtemoc C.P 06020.",19.437643,-99.129356
AZCAPOTZALCO,CENTRO DE AZCAPOTZALCO,Hospital Pediátrico Azcapotzalco,Director: Dra. Guadalupe Alejandra Santillán Muñoz,55 61 28 54,"Los Reyes, Azcapotzalco, Ciudad de México, DF",19.484491,-99.185608
CUAJIMALPA DE MORELOS,EL CONTADERO,Hospital Materno Infantil Cuajimalpa,Director: Dra. Maráa del Rosario Arrazola Flores,58 12 22 11,"Av. 16 de Septiembre s/n, Col. Contadero, Delegación Cuajimalpa de Morelos C.P.06500.",19.347433,-99.301117
AZCAPOTZALCO,FRANCISCO VILLA (U HAB),Hospital Materno Infantil Dr. Nicolás M. Cedillo,Director: Dra. Patricia Flores Galicia,53 94 05 65,"Gustavo J. S/n, Esq. Víctor Hernández Covarrubias, Col. Unidad Francisco Villa Delegación Azcapotzalco C.P. 02400.",19.498251,-99.2033
TLAHUAC,SAN PEDRO TLAHUAC (PBLO),Hospital Materno Infantil Tláhuac,Director: Dr. Raúl Ernesto Guevara Meléndez Machuca,58 42 36 01,"Av. Tláhuac Chalco No. 231, Col. La Habana, Delegación Tláhuac C.P. 13050.",19.265505,-98.997925
